t,G,C1,C1_next,C2,C2_next,f_e,x1,f_c,x2,L_out,L_target,shed
35.5,8.705904774487385,0.0,0.0,0.1488994208391971,0.0,8.705904774487385,0.0,0.0,0.5955976833567884,8.401132096227595,9.0,0.5988679037724047
35.75,9.347369038899735,0.0,0.0,0.0,0.0,9.347369038899735,0.0,0.0,0.0,8.412632135009762,9.0,0.5873678649902381
36.0,9.999999999999996,0.0,0.0,0.0,0.0,9.999999999999996,0.0,0.0,0.0,8.999999999999996,9.0,3.552713678800501e-15
36.25,10.65263096110024,0.0,0.07591829547492583,0.0,0.07749992663065346,10.0,0.6526309611002397,0.31632623114552433,0.0,9.0,9.0,0.0
36.5,11.29409522551259,0.07591829547492583,0.22726285801196572,0.07749992663065346,0.23038291908240977,10.0,1.2940952255125904,0.6240122140888013,0.0,9.0,9.0,0.0
36.75,11.91341716182544,0.22726285801196572,0.4514359059541311,0.23038291908240977,0.45604117651395865,10.0,1.9134171618254392,0.9210541119655057,0.0,9.0,9.0,0.0
37.0,12.499999999999995,0.4514359059541311,0.7446018603213893,0.45604117651395865,0.7506135412340442,10.0,2.4999999999999947,1.2023361825309615,0.0,9.0,9.0,0.0
37.25,13.043807145043601,0.7446018603213893,1.1017445694961832,0.7506135412340442,1.1090597992516444,10.0,3.0438071450436013,1.4630459510922458,0.0,9.0,9.0,0.0
37.5,13.535533905932725,1.1017445694961832,1.5167532227146132,1.1090597992516444,1.5252468357034248,10.0,3.5355339059327253,1.6987225977623688,0.0,9.0,9.0,0.0
37.75,13.966766701456168,1.5167532227146132,1.9825269068578875,1.5252468357034248,1.992053575006939,10.0,3.9667667014561676,1.9053336298102623,0.0,9.0,9.0,0.0
38.0,14.330127018922187,1.9825269068578875,2.4910961050534537,1.992053575006939,2.5014928244294232,10.0,4.330127018922187,2.079343875193813,0.0,9.0,9.0,0.0
38.25,14.61939766255643,2.4910961050534537,3.033759057318166,2.5014928244294232,3.0448479371700143,10.0,4.61939766255643,2.2177759703697597,0.0,9.0,9.0,0.0
38.5,14.82962913144534,3.033759057318166,3.601230650084179,3.0448479371700143,3.6128219566032245,10.0,4.829629131445341,2.318261303809021,0.0,9.0,9.0,0.0
38.75,14.95722430686905,3.601230650084179,4.1838012870664185,3.6128219566032245,4.195696689784401,10.0,4.957224306869049,2.379080543596639,0.0,9.0,9.0,0.0
39.0,15.0,4.1838012870664185,4.771503023147022,4.195696689784401,4.78349898842541,10.0,5.0,2.399193055677587,0.0,9.0,9.0,0.0
39.25,14.957224306869053,4.771503023147022,5.354280118679946,4.78349898842541,5.366171392226916,10.0,4.957224306869053,2.378254709393904,0.0,9.0,9.0,0.0
39.5,14.829629131445342,5.354280118679946,5.922161095984286,5.366171392226916,5.933744214812566,10.0,4.829629131445342,2.3166237656557125,0.0,9.0,9.0,0.0
39.75,14.619397662556441,5.922161095984286,6.465429354092015,5.933744214812566,6.476506127827004,10.0,4.619397662556441,2.2153547469977055,0.0,9.0,9.0,0.0
40.0,14.330127018922202,6.465429354092015,6.9747894224844895,6.476506127827004,6.98517032445652,10.0,4.330127018922202,2.0761803944061907,0.0,9.0,9.0,0.0
40.25,13.966766701456184,6.9747894224844895,7.441526009170224,6.98517032445652,7.451033419268427,10.0,3.9667667014561836,1.9014820196404345,0.0,9.0,9.0,0.0
